socname,soc.id,latitude,longitude,biome,subsistence,allomaternal,fathercare,fixity,storage,polygny,inheritance,pathogen,endstarve,shortstarve,seasonstarve,temp.mean,temp.var,temp.pred,precip.mean,precip.var,precip.pred
Japanese,SCCS117,34.67,133.67,Temperate Broadleaf & Mixed Forests,Intensive agriculture,3,3,5,3,1,7,16,2,2,4,14.391613,67.50235953,0.6997467,132984.244,7394435303,0.6567826
Ainu,SCCS118,42.83,143,Temperate Conifer Forests,Fishing,3,3,3,2,3,7,9,1,2,1,6.8774212,108.1514634,0.610078,105774.093,3293987850,0.7025157
Chukchee,SCCS121,66.5,179.6,Tundra,Pastoralism,2,3,2,1,4,7,8,2,2,3,-13.5316026,158.9184121,0.4673705,50583.29,715301571,0.6230833
Ingalik,SCCS122,62.5,-159.5,Boreal Forests/Taiga,Fishing,2,3,3,3,3,7,7,,2,3,-4.2291817,126.0806708,0.4570296,58884.317,886700089,0.6640506
Copper_Eskimo,SCCS124,68.72,-112.53,Tundra,Fishing,2,4,2,2,2,5,7,1,2,2,-14.2963464,287.366131,0.4347013,23707.466,183123377,0.6769876
Montagnais,SCCS125,50,-74,Boreal Forests/Taiga,Hunting,2,3,2,1,2,7,7,,2,4,0.2781487,175.2285117,0.533263,77742.711,1142304198,0.735906
Micmac,SCCS126,46.99,-65,Temperate Broadleaf & Mixed Forests,Hunting,2,3,2,1,3,,7,,2,4,5.8115576,118.0401354,0.580415,99384.767,1638214920,0.7087675
Saulteaux,SCCS127,52,-95.5,Boreal Forests/Taiga,Two or more sources,3,2,2,1,3,,7,3,2,5,1.4795705,226.2556592,0.5039384,42363.336,506258689,0.6828212
Slave,SCCS128,62,-122,Boreal Forests/Taiga,Hunting,3,4,3,2,3,1,7,,3,3,-3.3086201,202.3651863,0.4721663,31319.667,263255952,0.6789874
Kaska,SCCS129,60,-131,Boreal Forests/Taiga,Fishing,2,3,2,1,3,7,7,3,3,5,-5.328891,108.7804831,0.4830303,81754.226,1398625820,0.711216
Eyak,SCCS130,60.5,-145,Temperate Conifer Forests,Fishing,2,4,3,3,3,3,7,,2,4,-0.8033036,39.3437819,0.541455,174457.357,6981751820,0.6678058
Bellacoola,SCCS132,52.33,-126.5,Temperate Conifer Forests,Fishing,2,3,5,3,4,7,7,1,,,2.3530523,48.66593005,0.5419184,192758.486,16364533162,0.6741577
MISSING_Twana,SCCS133,47.43,-123.25,Temperate Conifer Forests,Fishing,3,4,2,2,4,1,7,1,2,3,9.4772309,24.45688573,0.6065579,124285.276,10458341660,0.6493796
MISSING_Yurok,SCCS134,41.5,-124,Temperate Conifer Forests,Fishing,2,2,5,2,2,5,7,,1,1,11.889409,13.44053522,0.6513489,101372.276,10790474701,0.5877504
